"","Iteration","Pi","X","Y","Inside"
"1",1,4,0.456147488439456,0.445130927953869,TRUE
"101",101,3.08910891089109,0.949995483038947,0.511312210466713,FALSE
"201",201,3.20398009950249,0.086378364590928,0.759174296399578,TRUE
"301",301,3.20265780730897,0.734059515409172,0.728957772487774,FALSE
"401",401,3.17206982543641,0.567788829095662,0.42237834027037,TRUE
"501",501,3.12974051896208,0.668425364885479,0.371291590388864,TRUE
"601",601,3.09484193011647,0.375017990591004,0.766216265037656,TRUE
"701",701,3.10413694721826,0.661366323707625,0.160236544674262,TRUE
"801",801,3.13607990012484,0.648011645535007,0.363881066907197,TRUE
"901",901,3.12541620421754,0.192344445036724,0.217668572440743,TRUE
"1001",1001,3.11688311688312,0.808141322340816,0.00114253885112703,TRUE
"1101",1101,3.14259763851045,0.608821705216542,0.561664684442803,TRUE
"1201",1201,3.16069941715237,0.0726699300576001,0.68851168686524,TRUE
"1301",1301,3.16679477325135,0.345881875837222,0.461175090633333,TRUE
"1401",1401,3.16345467523198,0.451743366895244,0.524261213140562,TRUE
"1501",1501,3.15789473684211,0.755556855350733,0.357771186390892,TRUE
"1601",1601,3.13304184884447,0.0930428933352232,0.945734308566898,TRUE
"1701",1701,3.13697824808936,0.327952092746273,0.266637454973534,TRUE
"1801",1801,3.13603553581344,0.716229883953929,0.324653283227235,TRUE
"1901",1901,3.15202524986849,0.401256353361532,0.10995407961309,TRUE
"2001",2001,3.1504247876062,0.255228522000834,0.637816602131352,TRUE
"2101",2101,3.16230366492147,0.494149989215657,0.0749465168919414,TRUE
"2201",2201,3.16038164470695,0.713596126530319,0.37043995782733,TRUE
"2301",2301,3.1638418079096,0.865610536653548,0.274419581983238,TRUE
"2401",2401,3.17034568929613,0.301295546814799,0.420597382821143,TRUE
"2501",2501,3.16033586565374,0.414364093448967,0.0730197092052549,TRUE
"2601",2601,3.16339869281046,0.18786850059405,0.815880201756954,TRUE
"2701",2701,3.17067752684191,0.734186440473422,0.792632317868993,FALSE
"2801",2801,3.1674401999286,0.688607599353418,0.359732271637768,TRUE
"2901",2901,3.16994139951741,0.917834787862375,0.240160537650809,TRUE
"3001",3001,3.16694435188271,0.252041650004685,0.482248038053513,TRUE
