Features,Kilowatts,Cylinder Layout,Finance Price,Mileage,Gears,Fuel Type,No of Seats,Registration Year,Colour,No of Doors,Spare Key,Fuel Consumption,Dekra,Variant,Drive,Body Type,Vehicle Service History,id,Maintenance plan,Fuel Tank Capacity,Parking bay number,Category,Price,Make,NaTIS Vehicle status,Engine Capacity,Branch,Warranty,Model,Transmission
"['Reverse camera', 'Auto stop-start']",250 kW,V6,R 22 416  p/m,72 500km,8,Petrol,4,2020,Silver,5,Yes,,Dekra Platinum,Cayenne Coupe,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,EFBA12145,,75 l,, A,R 1 212 900 ,Porsche,,2998 cc,Midstream (GP),,Cayenne Coupe,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",,,R 22 326  p/m,3 500km,,Electric,5,2023,White,5,Yes,,Dekra Platinum,S 90 KWH (294 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",444B08388,2028/02/15,,, A,R 1 207 900 ,Jaguar,,,Midstream (GP),2031/02/15,I-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,R 21 416  p/m,41 500km,8,Diesel,7,2020,Black,5,Yes,7.65 l/100km,Dekra Platinum,D240 S (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",DC1708436,2025/07/19,88 l,, A,R 1 157 900 ,Land Rover,,1997 cc,JHB South (GP),,Defender 110,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",257 kW,I6,R 43 148  p/m,31 000km,8,Diesel,5,2023,Black,5,Yes,7.4 l/100km,Dekra Platinum,3.0d First ED (D350),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",871102276,2028/01/05,80 l,, A,R 2 352 900 ,Land Rover,,2997 cc,Dome (GP),2028/01/05,Range Rover Sport,Automatic
[],375 kW,V8,,73 482km,7,Petrol,2,2015,Yellow,2, No,9.4 l/100km,Dekra Gold,S 4.0 V8 Coupe,R,Coupe,Partial,69E608239,,80 l,, A,R 1 152 000 ,Mercedes-Benz,,3982 cc,Richmond (WC),,AMG GT,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",195 kW,V8,R 18 325  p/m,131 000km,6,Diesel,7,2018,White,5,Yes,10.2 l/100km,Dekra Gold,200 V8 4.5d Vx-R Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",575912778,,138 l,, A,R 987 900 ,Toyota,,4461 cc,Brackenfell (WC),,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",338 kW,V8,R 42 057  p/m,14 000km,8,Petrol,4,2023,Grey,5,Yes,,Dekra Platinum,Cayenne GTS Coupe,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",680D14461,,90 l,, A,R 2 292 900 ,Porsche,,2998 cc,Midstream (GP),2025/01/20,Cayenne Coupe,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,,61 742km,8,Diesel,7,2021,White,5,Yes,7.65 l/100km,Dekra Platinum,D240 S (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",5C1308598,2026/02/16,88 l,, A,R 1 142 000 ,Land Rover,,1997 cc,Silver Lakes (GP),2025/02/16,Defender 110,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",195 kW,I6,R 18 288  p/m,90 000km,8,Diesel,7,2019,Grey,5,Yes,7 l/100km,Dekra Green,xDrive30d (G07),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",F9C703644,,80 l,, A,R 985 900 ,BMW,,2993 cc,Dome (GP),,X7,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",460 kW,V8,R 34 055  p/m,34 080km,8,Petrol,5,2021,White,5,Yes,12.5 l/100km,Dekra Platinum,M (F96),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",286700765,2026/01/29,83 l,, A,R 1 852 900 ,BMW,,4395 cc,Midstream (GP),2026/01/29,X6,Automatic
