Make,Model,Registration Year,Mileage,Body Type,Category,Colour,Cylinder Layout,Dekra,Drive,Engine Capacity,Features,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type,Gears,Kilowatts,Maintenance plan,No of Doors,No of Seats,Spare Key,Transmission,Vehicle Service History,Warranty,Price
Land Rover,Defender 110,2020,41500,Sports Utility Vehicle (SUV),A,Black,I4,Platinum,FR,1997,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",21416,7.65,88,Diesel,8,177,2025/07/19,5,7,True,Automatic,"Complete, Up To Date",No,1157900
Land Rover,Range Rover Sport,2023,31000,Sports Utility Vehicle (SUV),A,Black,I6,Platinum,FR,2997,"['CarPlay or Android Auto', 'Reverse camera']",43148,7.4,80,Diesel,8,257,2028/01/05,5,5,True,Automatic,"Complete, Up To Date",2028/01/05,2352900
Mercedes-Benz,AMG GT,2015,73482,Coupe,A,Yellow,V8,Gold,R,3982,[],10323,9.4,80,Petrol,7,375,No,2,2,False,Automatic,Partial,No,1152000
Toyota,Land Cruiser,2018,131000,Sports Utility Vehicle (SUV),A,White,V8,Gold,FR,4461,"['CarPlay or Android Auto', 'Reverse camera']",18325,10.2,138,Diesel,6,195,No,5,7,True,Automatic,"Complete, Up To Date",No,987900
Land Rover,Defender 110,2021,61742,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1997,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16444,7.65,88,Diesel,8,177,2026/02/16,5,7,True,Automatic,"Complete, Up To Date",2025/02/16,1142000
BMW,X7,2019,90000,Sports Utility Vehicle (SUV),A,Grey,I6,Green,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18288,7.0,80,Diesel,8,195,No,5,7,True,Automatic,"Complete, Up To Date",No,985900
BMW,X6,2021,34080,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4395,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",34055,12.5,83,Petrol,8,460,2026/01/29,5,5,True,Automatic,"Complete, Up To Date",2026/01/29,1852900
Land Rover,Range Rover,2019,55000,Sports Utility Vehicle (SUV),A,Black,V8,Platinum,FR,5000,['Reverse camera'],20780,12.8,104,Petrol,8,386,No,5,5,True,Automatic,"Complete, Up To Date",No,1122900
Land Rover,Range Rover,2020,23000,Sports Utility Vehicle (SUV),A,Grey,V8,Platinum,FR,5000,[],31964,12.8,104,Petrol,8,386,2025/01/19,5,5,False,Automatic,"Complete, Up To Date",2025/01/19,1737900
Audi,A5,2021,15000,Hatchback,A,Red,V6,Platinum,FR,2894,"['Reverse camera', 'Auto stop-start']",20507,9.4,58,Petrol,8,331,2026/07/30,5,5,True,Automatic,"Complete, Up To Date",No,1107900
Mercedes-Benz,GLC,2022,20000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1950,[],18143,5.7,57,Diesel,9,180,2027/02/27,5,5,True,Automatic,"Complete, Up To Date",No,977900
Toyota,Prado,2022,15115,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2755,"['CarPlay or Android Auto', 'Reverse camera']",20325,7.9,150,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",2028/09/15,1097900
Land Rover,Defender 110,2022,49000,Sports Utility Vehicle (SUV),A,Black,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera']",22096,12.7,90,Petrol,8,386,2027/04/30,5,7,True,Automatic,"Complete, Up To Date",No,1681000
Porsche,911,2013,34000,Coupe,A,Red,B6,Gold,R,3800,[],11810,8.7,64,Petrol,7,294,No,2,4,True,Automatic,"Complete, Up To Date",No,1097000
Land Rover,Defender 110,2023,14454,Sports Utility Vehicle (SUV),A,White,I6,Platinum,FR,2996,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",30327,7.6,89,Diesel,8,221,2028/05/01,5,7,True,Automatic,"Complete, Up To Date",2028/05/01,1647900
Audi,TT,2021,9820,Coupe,A,Grey,I5,Platinum,FR,2480,['Reverse camera'],18143,8.7,55,Petrol,7,294,2026/10/23,2,4,True,Automatic,"Complete, Up To Date",No,977900
Toyota,Land Cruiser,2019,114826,Sports Utility Vehicle (SUV),A,White,V8,Green,FR,4461,['Reverse camera'],20289,10.2,138,Diesel,6,195,No,5,7,True,Automatic,"Complete, Up To Date",2025/10/13,1095900
Toyota,Prado,2022,9212,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,2755,[],20216,7.9,150,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",2028/08/30,1091900
Ford,Everest,2023,23500,Sports Utility Vehicle (SUV),A,Silver,V6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18106,8.5,77,Diesel,10,184,No,5,7,True,Automatic,"Complete, Up To Date",2027/02/23,975900
Land Rover,Discovery,2021,79000,Sports Utility Vehicle (SUV),A,White,I6,Platinum,FR,2996,"['Reverse camera', 'Auto stop-start']",20089,8.25,89,Diesel,8,221,No,5,7,True,Automatic,"Complete, Up To Date",2026/06/08,1084900
Toyota,Prado,2023,26000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2755,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",20052,7.9,150,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",2026/06/25,1082900
Land Rover,Discovery,2021,73000,Sports Utility Vehicle (SUV),A,White,I6,Platinum,FR,2996,"['Reverse camera', 'Auto stop-start']",19507,8.25,89,Diesel,8,221,2026/04/15,5,7,True,Automatic,"Complete, Up To Date",2026/04/18,1052900
Porsche,Cayenne,2018,48900,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2995,[],19143,9.2,75,Petrol,8,250,No,5,5,False,Automatic,"Complete, Up To Date",No,1032900
Toyota,Prado,2021,19752,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2755,[],19052,7.9,150,Diesel,6,150,2030/09/14,5,7,True,Automatic,"Complete, Up To Date",2024/09/14,1027900
Jaguar,F-Pace,2020,57576,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18088,11.9,66,Petrol,8,405,2025/02/28,5,5,True,Automatic,"Complete, Up To Date",No,974900
Toyota,Prado,2022,55000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2755,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18870,7.9,150,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",2025/04/28,1017900
