Age,Body Type_Bus,Body Type_Cabriolet,Body Type_Coupe,Body Type_Crossover (SUV),Body Type_Hatchback,Body Type_Multi Purpose Vehicle,Body Type_Other,Body Type_Sedan,Body Type_Sports Utility Vehicle (SUV),Body Type_Station Wagon,Category,Colour_Black,Colour_Blue,Colour_Gold,Colour_Grey,Colour_Other,Colour_Red,Colour_Silver,Colour_White,Cylinder Layout_I,Cylinder Layout_Other,Cylinder Layout_V,Dekra,Drive Front,Drive Rear,Engine Capacity,Feature_Auto stop-start,Feature_CarPlay or Android Auto,Feature_Reverse camera,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type_Diesel,Fuel Type_Hybrid,Fuel Type_Petrol,Gears,Horsepower,Make Model,Mileage,No of Cylinders,No of Doors,No of Seats,Remaining Maintenance Plan,Remaining Warranty,Spare Key,Transmission,Vehicle Service History,Price
4,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,2,True,True,1997,True,True,True,21416,7.65,88,True,False,False,8,237.36054000000001,73,41500,4,5,7,422,0,True,0,0,1157900
1,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,2,True,True,2997,False,True,True,43148,7.4,80,True,False,False,8,344.64214000000004,80,31000,6,5,5,1322,1322,True,0,0,2352900
9,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,True,False,False,False,False,False,True,1,False,True,3982,False,False,False,10323,9.4,80,False,False,True,7,502.88250000000005,98,73482,8,2,2,0,0,False,0,3,1152000
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,1,True,True,4461,False,True,True,18325,10.2,138,True,False,False,6,261.4989,135,131000,8,5,7,0,0,True,0,0,987900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,1997,True,True,True,16444,7.65,88,True,False,False,8,237.36054000000001,73,61742,4,5,7,634,269,True,0,0,1142000
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,0,True,True,2993,True,True,True,18288,7.0,80,True,False,False,8,261.4989,15,90000,6,5,7,0,0,True,0,0,985900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4395,True,True,True,34055,12.5,83,False,False,True,8,616.8692000000001,20,34080,8,5,5,616,616,True,0,0,1852900
5,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,True,2,True,True,5000,False,False,True,20780,12.8,104,False,False,True,8,517.63372,78,55000,8,5,5,0,0,True,0,0,1122900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,5000,False,False,False,31964,12.8,104,False,False,True,8,517.63372,78,23000,8,5,5,241,241,False,0,0,1737900
3,False,False,False,False,True,False,False,False,False,False,0,False,False,False,False,False,True,False,False,False,False,True,2,True,True,2894,True,False,True,20507,9.4,58,False,False,True,8,443.87762000000004,3,15000,6,5,5,798,0,True,0,0,1107900
